Circoscrizione;Collegio Uninominale;Coalizione/lista;Candidato
PIEMONTE 1;PIEMONTE 1 - U01;MOVIMENTO 5 STELLE;CARLOTTA TEVERE
PIEMONTE 1;PIEMONTE 1 - U01;AZIONE - ITALIA VIVA - CALENDA;MASSIMO GIUNTOLI
PIEMONTE 1;PIEMONTE 1 - U01;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER;ELENA CHIORINO
PIEMONTE 1;PIEMONTE 1 - U01;ITALEXIT PER L'ITALIA;SERENA TAGLIAFERRI
PIEMONTE 1;PIEMONTE 1 - U01;ITALIA SOVRA E POPOLARE;DOMENICA FOLLINO
PIEMONTE 1;PIEMONTE 1 - U01;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;RICCARDO MAGI
PIEMONTE 1;PIEMONTE 1 - U01;VITA;LORENA BASSINO
PIEMONTE 1;PIEMONTE 1 - U01;UNIONE POPOLARE CON DE MAGISTRIS;ELISABETTA FORNI
PIEMONTE 1;PIEMONTE 1 - U02;MOVIMENTO 5 STELLE;CHIARA APPENDINO
PIEMONTE 1;PIEMONTE 1 - U02;AZIONE - ITALIA VIVA - CALENDA;MARIA KATJA AGATE
PIEMONTE 1;PIEMONTE 1 - U02;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER;AUGUSTA MONTARULI
PIEMONTE 1;PIEMONTE 1 - U02;ITALEXIT PER L'ITALIA;LUCA GIACOMONE
PIEMONTE 1;PIEMONTE 1 - U02;ITALIA SOVRA E POPOLARE;DANIELA TALARICO
PIEMONTE 1;PIEMONTE 1 - U02;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;STEFANO LEPRI
PIEMONTE 1;PIEMONTE 1 - U02;VITA;FEDERICA PATTARINO
PIEMONTE 1;PIEMONTE 1 - U02;UNIONE POPOLARE CON DE MAGISTRIS;LUIGI CELEBRE
PIEMONTE 1;PIEMONTE 1 - U03;MOVIMENTO 5 STELLE;LUCA CARABETTA
PIEMONTE 1;PIEMONTE 1 - U03;AZIONE - ITALIA VIVA - CALENDA;PAOLA BARBERO
PIEMONTE 1;PIEMONTE 1 - U03;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER;ELENA MACCANTI
PIEMONTE 1;PIEMONTE 1 - U03;ITALEXIT PER L'ITALIA;LUCA CELLAMARE
PIEMONTE 1;PIEMONTE 1 - U03;ITALIA SOVRA E POPOLARE;MONICA AMORE
PIEMONTE 1;PIEMONTE 1 - U03;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;DAVIDE GARIGLIO
PIEMONTE 1;PIEMONTE 1 - U03;VITA;GIANPIERO ALAIMO
PIEMONTE 1;PIEMONTE 1 - U03;UNIONE POPOLARE CON DE MAGISTRIS;ROSA BARTIROMO
PIEMONTE 1;PIEMONTE 1 - U04;MOVIMENTO 5 STELLE;ANTONINO IARIA
PIEMONTE 1;PIEMONTE 1 - U04;AZIONE - ITALIA VIVA - CALENDA;OSVALDO NAPOLI
PIEMONTE 1;PIEMONTE 1 - U04;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER;ALESSANDRO GIGLIO VIGNA
PIEMONTE 1;PIEMONTE 1 - U04;ITALEXIT PER L'ITALIA;ALDO QUERIO GIANETTO
PIEMONTE 1;PIEMONTE 1 - U04;ITALIA SOVRA E POPOLARE;VINCENZO VALERIO DONATO
PIEMONTE 1;PIEMONTE 1 - U04;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;ANTONELLA GIORDANO
PIEMONTE 1;PIEMONTE 1 - U04;VITA;ROBERTO CONEDERA
PIEMONTE 1;PIEMONTE 1 - U04;UNIONE POPOLARE CON DE MAGISTRIS;CADIGIA ESTER PERINI
PIEMONTE 1;PIEMONTE 1 - U05;MOVIMENTO 5 STELLE;ANTONELLA PEPE
PIEMONTE 1;PIEMONTE 1 - U05;AZIONE - ITALIA VIVA - CALENDA;DANIELA RUFFINO
PIEMONTE 1;PIEMONTE 1 - U05;FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC,LEGA PER SALVINI PREMIER;ROBERTO PELLA
PIEMONTE 1;PIEMONTE 1 - U05;ITALEXIT PER L'ITALIA;MARINA PITTAU
PIEMONTE 1;PIEMONTE 1 - U05;ITALIA SOVRA E POPOLARE;VINCENZA DI BLASI
PIEMONTE 1;PIEMONTE 1 - U05;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;CARMEN BONINO
PIEMONTE 1;PIEMONTE 1 - U05;VITA;ANNARITA PLATANIA
PIEMONTE 1;PIEMONTE 1 - U05;UNIONE POPOLARE CON DE MAGISTRIS;MARCO SCIBONA
PIEMONTE 2;PIEMONTE 2 - U02;AZIONE - ITALIA VIVA - CALENDA;VITTORIO BARAZZOTTO
PIEMONTE 2;PIEMONTE 2 - U02;UNIONE POPOLARE CON DE MAGISTRIS;DANIELE CHERUBIN
PIEMONTE 2;PIEMONTE 2 - U02;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA;EMANUELA ALLEGRA
PIEMONTE 2;PIEMONTE 2 - U02;MOVIMENTO 5 STELLE;MARIO IACOPINO
PIEMONTE 2;PIEMONTE 2 - U02;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ALBERTO  LUIGI GUSMEROLI
PIEMONTE 2;PIEMONTE 2 - U02;ITALIA SOVRA E POPOLARE;MATTIA BIANCHI
PIEMONTE 2;PIEMONTE 2 - U02;ITALEXIT PER L'ITALIA;ELEONORA CHIODO
PIEMONTE 2;PIEMONTE 2 - U03;AZIONE - ITALIA VIVA - CALENDA;TERESA BARRESI
PIEMONTE 2;PIEMONTE 2 - U03;UNIONE POPOLARE CON DE MAGISTRIS;CINZIA LAMANNA
PIEMONTE 2;PIEMONTE 2 - U03;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA;MARIA MOCCIA
PIEMONTE 2;PIEMONTE 2 - U03;MOVIMENTO 5 STELLE;GIUSEPPE PASCHETTO
PIEMONTE 2;PIEMONTE 2 - U03;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;ANDREA DELMASTRO DELLE VEDOVE
PIEMONTE 2;PIEMONTE 2 - U03;ITALIA SOVRA E POPOLARE;ANDREA RAVICIOTTI
PIEMONTE 2;PIEMONTE 2 - U03;ITALEXIT PER L'ITALIA;DANILO RAMIREZ
PIEMONTE 2;PIEMONTE 2 - U01;AZIONE - ITALIA VIVA - CALENDA;GIOVANNI BAROSINI
PIEMONTE 2;PIEMONTE 2 - U01;UNIONE POPOLARE CON DE MAGISTRIS;STEFANELLA RAVAZZI
PIEMONTE 2;PIEMONTE 2 - U01;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA;FEDERICO BODO
PIEMONTE 2;PIEMONTE 2 - U01;MOVIMENTO 5 STELLE;ANTONELLA SCAGNETTI
PIEMONTE 2;PIEMONTE 2 - U01;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;RICCARDO MOLINARI
PIEMONTE 2;PIEMONTE 2 - U01;ITALIA SOVRA E POPOLARE;PATRIZIA MILETO
PIEMONTE 2;PIEMONTE 2 - U01;ITALEXIT PER L'ITALIA;ALBERTO COSTANZO
PIEMONTE 2;PIEMONTE 2 - U04;AZIONE - ITALIA VIVA - CALENDA;BARBARA BAINO
PIEMONTE 2;PIEMONTE 2 - U04;UNIONE POPOLARE CON DE MAGISTRIS;LORENZA AMEGLIO
PIEMONTE 2;PIEMONTE 2 - U04;+EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ALLEANZA VERDI E SINISTRA;ANDREA GHIGNONE
PIEMONTE 2;PIEMONTE 2 - U04;MOVIMENTO 5 STELLE;MASSIMO CERRUTI
PIEMONTE 2;PIEMONTE 2 - U04;FRATELLI D'ITALIA CON GIORGIA MELONI,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGRO - UDC;MARCELLO COPPO
