"Coalizione","Dove","Partito","Circoscrizione","Collegio Plurinominale","Collegio Uninominale","Città principale","Pos.","Candidato"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Giuseppe Arnone"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Simone Billi"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Antonio Cenini"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Elia Rossi"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Giuseppe Stabile"
"Centrodestra","Camera dei deputati","-","Europa","-","-","-","-","Stefano Giuseppe Ticozzelli"
"Centrodestra","Camera dei deputati","-","America Settentrionale e Centrale","-","-","-","-","Andrea Di Giuseppe"
"Centrodestra","Camera dei deputati","-","America Settentrionale e Centrale","-","-","-","-","Federico Felli"
"Centrodestra","Camera dei deputati","-","America Settentrionale e Centrale","-","-","-","-","Angela Nissoli detta Fucsia detta Fitzgerald"
"Centrodestra","Camera dei deputati","-","America Settentrionale e Centrale","-","-","-","-","Antonio Zara"
"Centrodestra","Camera dei deputati","-","America Meridionale","-","-","-","-","Francesca De Natale Sifola Galiani"
"Centrodestra","Camera dei deputati","-","America Meridionale","-","-","-","-","Vito De Palma"
"Centrodestra","Camera dei deputati","-","America Meridionale","-","-","-","-","Luis Roberto Di San Martino Lorenzato Di Ivrea"
"Centrodestra","Camera dei deputati","-","America Meridionale","-","-","-","-","Andrea Dorini"
"Centrodestra","Camera dei deputati","-","Africa, Asia, Oceania e Antartide","-","-","-","-","Giuseppe Joe Cossari"
"Centrodestra","Camera dei deputati","-","Africa, Asia, Oceania e Antartide","-","-","-","-","Rocca Papapietro"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Toni Ricciardi"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Angela Schirò"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Mariza Antonietta Giuditta Bafile"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Nadia Buttini"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Caterina Di Fazio"
"Centrosinistra","Camera dei deputati","Partito Democratico","Europa","-","-","-","-","Federico Quadrelli"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Settentrionale e Centrale","-","-","-","-","Christian Diego Di Sanzo"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Settentrionale e Centrale","-","-","-","-","Gianluca Galletto"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Settentrionale e Centrale","-","-","-","-","Michela Di Marco"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Settentrionale e Centrale","-","-","-","-","Vera Rosati"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Meridionale","-","-","-","-","Antonella Irene Pinto"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Meridionale","-","-","-","-","Fabio Porta"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Meridionale","-","-","-","-","Salvador Finocchiaro"
"Centrosinistra","Camera dei deputati","Partito Democratico","America Meridionale","-","-","-","-","Filomena Antonietta Narducci"
"Centrosinistra","Camera dei deputati","Partito Democratico","Africa, Asia, Oceania e Antartide","-","-","-","-","Nicola Carè"
"Centrosinistra","Camera dei deputati","Partito Democratico","Africa, Asia, Oceania e Antartide","-","-","-","-","Antonio Amatulli"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Benedetta Scuderi"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","David Checchi"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Elisa Fiorucci"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Mattia Lento"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Elisa Siragusa"
