"Ripartizione","Lista","Candidato"
"EUROPA","AZIONE - ITALIA VIVA - CALENDA","GOLAM MAULA TIPU"
"EUROPA","AZIONE - ITALIA VIVA - CALENDA","ANGELO RENZETTI"
"EUROPA","MOVIMENTO DELLE LIBERTA'","ALESSANDRA AGOSTINI"
"EUROPA","MOVIMENTO DELLE LIBERTA'","ESTER BARONE"
"EUROPA","MOVIMENTO 5 STELLE","ANDREA BARDIN"
"EUROPA","MOVIMENTO 5 STELLE","STEFANO BALBI"
"EUROPA","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","LUIGI BILLE'"
"EUROPA","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","ALESSANDRO ZEHENTNER"
"EUROPA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANDREA CRISANTI"
"EUROPA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MICHELE SCHIAVONE"
"EUROPA","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","AMERICO CALANDRA"
"AMERICA MERIDIONALE","AZIONE - ITALIA VIVA - CALENDA","VINCENZO DI MARTINO"
"AMERICA MERIDIONALE","AZIONE - ITALIA VIVA - CALENDA","MARCELO LUIS ROLAND ZOVICO"
"AMERICA MERIDIONALE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","MARCELLO DAVID BOMRAD"
"AMERICA MERIDIONALE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","EMERSON FITTIPALDI"
"AMERICA MERIDIONALE","UNIONE SUDAMERICANA EMIGRATI ITALIANI - USEI","JOSE FRANCISCO PALMIOTTI"
"AMERICA MERIDIONALE","UNIONE SUDAMERICANA EMIGRATI ITALIANI - USEI","RODRIGO SEBASTIAN MIGUEL"
"AMERICA MERIDIONALE","MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE","LUCIANA LASPRO"
"AMERICA MERIDIONALE","MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE","MARIO ALEJANDRO BORGHESE"
"AMERICA MERIDIONALE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARIO ALDO SEBASTIANI"
"AMERICA MERIDIONALE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANGELO ANDREA MATARAZZO"
"AMERICA MERIDIONALE","L'ITALIA DEL MERIDIONE","EMILIO JULIO BIANCO"
"AMERICA MERIDIONALE","L'ITALIA DEL MERIDIONE","ANGELA ROSSINO"
"AMERICA MERIDIONALE","MOVIMENTO 5 STELLE","IVANA MAINENTI"
"AMERICA MERIDIONALE","MOVIMENTO 5 STELLE","VINCENZO GARRUTI"
"AMERICA SETTENTRIONALE E CENTRALE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FRANCESCA LA MARCA"
"AMERICA SETTENTRIONALE E CENTRALE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","PASQUALE FRANCESCO NESTICO'"
"AMERICA SETTENTRIONALE E CENTRALE","MOVIMENTO 5 STELLE","ANNA FUMAGALLI"
"AMERICA SETTENTRIONALE E CENTRALE","MOVIMENTO 5 STELLE","VIRGINIA BAGLIONI"
"AMERICA SETTENTRIONALE E CENTRALE","MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE","VINCENZO ODOGUARDI"
"AMERICA SETTENTRIONALE E CENTRALE","MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE","ANTONIO VESPA"
"AMERICA SETTENTRIONALE E CENTRALE","AZIONE - ITALIA VIVA - CALENDA","DANIELE SEVERI BRUNI"
"AMERICA SETTENTRIONALE E CENTRALE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","VINCENZO ARCOBELLI"
"AMERICA SETTENTRIONALE E CENTRALE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","ISABELLA LINDA OLIVIERI"
"AFRICA ASIA OCEANIA ANTARTIDE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","MICHELE GRIGOLETTI"
"AFRICA ASIA OCEANIA ANTARTIDE","LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA","ENRICO NAN"
"AFRICA ASIA OCEANIA ANTARTIDE","AZIONE - ITALIA VIVA - CALENDA","FEDERICO BERCHI"
"AFRICA ASIA OCEANIA ANTARTIDE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FRANCESCO GIACOBBE"
"AFRICA ASIA OCEANIA ANTARTIDE","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","SANDRO FRATINI"
"AFRICA ASIA OCEANIA ANTARTIDE","MOVIMENTO 5 STELLE","CLORIDIA ALTROCCHI"
"AFRICA ASIA OCEANIA ANTARTIDE","MOVIMENTO 5 STELLE","LORENZO COLA"
