Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ALLEANZA VERDI E SINISTRA;MARCO GRIMALDI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ALLEANZA VERDI E SINISTRA;MARIELLA GRISA'
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ALLEANZA VERDI E SINISTRA;ANDREA JOHN DEJANAZ
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ALLEANZA VERDI E SINISTRA;EMANUELA CHIDICHIMO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ALLEANZA VERDI E SINISTRA;MARCO GRIMALDI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ALLEANZA VERDI E SINISTRA;MARIELLA GRISA'
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ALLEANZA VERDI E SINISTRA;ANDREA GIULIANA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ALLEANZA VERDI E SINISTRA;NICOLETTA PAOLA CERRATO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ALLEANZA VERDI E SINISTRA;ANTONIO FILONI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ALLEANZA VERDI E SINISTRA;MICHELA CASELLA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ALLEANZA VERDI E SINISTRA;RAOUL OLIVA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ALLEANZA VERDI E SINISTRA;STEFANIA BROGLIA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ALLEANZA VERDI E SINISTRA;PAOLO NICOLO' ROMANO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ALLEANZA VERDI E SINISTRA;GIULIA MARRO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ALLEANZA VERDI E SINISTRA;DAVIDE SERAFIN
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ALLEANZA VERDI E SINISTRA;GIULIA BOVONE
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ALLEANZA VERDI E SINISTRA;ABOUBAKAR SOUMAHORO
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ALLEANZA VERDI E SINISTRA;ELEONORA EVI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ALLEANZA VERDI E SINISTRA;GIOVANNI PAGLIA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;ALLEANZA VERDI E SINISTRA;FRANCESCA CUCCHIARA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ALLEANZA VERDI E SINISTRA;ELEONORA EVI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ALLEANZA VERDI E SINISTRA;GIOVANNI PAGLIA
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ALLEANZA VERDI E SINISTRA;CLAUDIA MAPELLI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P02;ALLEANZA VERDI E SINISTRA;ANGELO GEROSA
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;ALLEANZA VERDI E SINISTRA;MASSIMILIANO BALESTRERO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;ALLEANZA VERDI E SINISTRA;MARIA LUISA RAMPONI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;ALLEANZA VERDI E SINISTRA;DARIO FERRARI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P01;ALLEANZA VERDI E SINISTRA;CLAUDIA MAPELLI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;ALLEANZA VERDI E SINISTRA;DEVIS DORI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;ALLEANZA VERDI E SINISTRA;SARA CANALI
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;ALLEANZA VERDI E SINISTRA;DIEGO SCHETTINO
CAMERA DEI DEPUTATI;LOMBARDIA 2;LOMBARDIA 2 - P02;ALLEANZA VERDI E SINISTRA;CELESTE GROSSI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;ALLEANZA VERDI E SINISTRA;LUIGI GELMI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;ALLEANZA VERDI E SINISTRA;ELISABETTA MAFFIOLETTI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;ALLEANZA VERDI E SINISTRA;DARIO POLINI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P01;ALLEANZA VERDI E SINISTRA;GRAZIA DOMENICA SCOTTI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;ALLEANZA VERDI E SINISTRA;DONATELLA ALBINI
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;ALLEANZA VERDI E SINISTRA;FRANCESCO PAOLO PEREZ
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;ALLEANZA VERDI E SINISTRA;GIADA STEFANA
CAMERA DEI DEPUTATI;LOMBARDIA 3;LOMBARDIA 3 - P02;ALLEANZA VERDI E SINISTRA;ALESSIO PESENTI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALLEANZA VERDI E SINISTRA;GIUSEPPE BUONDONNO
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALLEANZA VERDI E SINISTRA;ERICA INNISI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALLEANZA VERDI E SINISTRA;GABRIELE CAVALLINI
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALLEANZA VERDI E SINISTRA;NORINA DAFFINI
