Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;PIETRO MARCAZZAN
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;CONCETTA LAPENNA
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MARCO ZANLEONE
CAMERA DEI DEPUTATI;LOMBARDIA 4;LOMBARDIA 4 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;LAVINIA OLIVIERI
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;LUIGINO RANCAN
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MARIA NOVELLA ESPEN
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;FELICE CASETTO
CAMERA DEI DEPUTATI;VENETO 1;VENETO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;IMELDA VANZO
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;GLORIA CALLARELLI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;ANDREA SPONZA
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MARIA AMBROSI
CAMERA DEI DEPUTATI;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;VLADIMIRO CAMPELLO
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;FABIO SEBASTIANELLI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;CLARA FERRANTI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;OSCAR PIERGALLINI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;LORENA NARCISI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MICHELA ESPOSITO
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;SIMONE DI STEFANO
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;ALESSANDRA TRIGILA
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MARCO PETRIZZELLI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;SIMONE DI STEFANO
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;LAURA TERRANA
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;GUIDO PIANESELLI
CAMERA DEI DEPUTATI;LAZIO 1;LAZIO 1 - P03;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;JESSICA AVERSA
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;SERENA GIORGILLI
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;MARIA PIA PASTORE
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;ALADINO ORANI
CAMERA DEI DEPUTATI;ABRUZZO;ABRUZZO - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;CLEMENTINO CROSTA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;ERALDO RIZZUTI
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;CONCETTA MARIA FRASCATI
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;GIOVANNI TROMBINO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;NATALINA LATORRE
SENATO;PIEMONTE;PIEMONTE - P01;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;CARLO BRAVI
