Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;AUGUSTA MONTARULI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;MARCO PERISSA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;MONICA CIABURRO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;GIOVANNI CROSETTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;FRATELLI D'ITALIA CON GIORGIA MELONI;AUGUSTA MONTARULI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;FRATELLI D'ITALIA CON GIORGIA MELONI;MARCO PERISSA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;FRATELLI D'ITALIA CON GIORGIA MELONI;IMMACOLATA ZURZOLO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;FRATELLI D'ITALIA CON GIORGIA MELONI;GIOVANNI RAVALLI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;FABRIZIO COMBA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;MONICA CIABURRO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;EMANUELE POZZOLO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;FRATELLI D'ITALIA CON GIORGIA MELONI;BARBARA MERLIN
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;FRATELLI D'ITALIA CON GIORGIA MELONI;FABRIZIO COMBA
