Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALEXIT PER L'ITALIA;GIOVANNI FRAJESE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALEXIT PER L'ITALIA;MARINA PITTAU
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALEXIT PER L'ITALIA;LUCA CELLAMARE
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;ITALEXIT PER L'ITALIA;RIPALTA ARDITO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALEXIT PER L'ITALIA;FRANCO TRIVERO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALEXIT PER L'ITALIA;SILVIA CASTELLANO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALEXIT PER L'ITALIA;ALDO QUERIO GIANETTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;ITALEXIT PER L'ITALIA;VALENTINA PRETATO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALEXIT PER L'ITALIA;ROBERTA RENATA PIRALI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALEXIT PER L'ITALIA;ANDREA MESSANO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALEXIT PER L'ITALIA;ETHEL ODOLI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;ITALEXIT PER L'ITALIA;MARIO CALDERARA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;ITALEXIT PER L'ITALIA;ALESSANDRO BALOCCO
