Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;LEGA PER SALVINI PREMIER;ELENA MACCANTI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;LEGA PER SALVINI PREMIER;FLAVIO GASTALDI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;LEGA PER SALVINI PREMIER;ROBERTA FERRERO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;LEGA PER SALVINI PREMIER;CARMELO BRUNO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;LEGA PER SALVINI PREMIER;SILVANA ANDREINA COMAROLI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;LEGA PER SALVINI PREMIER;ALESSANDRO MANUEL BENVENUTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;LEGA PER SALVINI PREMIER;ASTRID SENTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;LEGA PER SALVINI PREMIER;CARMELO BRUNO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;LEGA PER SALVINI PREMIER;RICCARDO MOLINARI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;LEGA PER SALVINI PREMIER;ELENA MACCANTI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;LEGA PER SALVINI PREMIER;ENRICO MONTANI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;LEGA PER SALVINI PREMIER;CRISTINA PATELLI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;LEGA PER SALVINI PREMIER;RICCARDO MOLINARI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;LEGA PER SALVINI PREMIER;LAURA RAVETTO
