Dove;Ripartizione;Lista;Candidato
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;CLAUDIO ZIN
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;LUIS MOLOSSI
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;NELLO COLLEVECCHIO
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;ROSARIO TIRELLI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;ANGELO CARMELO VIRO
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;GIUSEPPE CANCIANI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;PASQUALE CAPRIATI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;CIRO SCHIANO MORIELLO
SENATO;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;LUCIANA LASPRO
SENATO;AMERICA MERIDIONALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;MARIO ALEJANDRO BORGHESE
SENATO;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;VINCENZO ODOGUARDI
SENATO;AMERICA SETTENTRIONALE E CENTRALE;MOVIMENTO ASSOCIATIVO ITALIANI ALL'ESTERO - MAIE;ANTONIO VESPA
