Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;LEONARDO SANI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;BARBARA FERRAINA
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ROSARIO BRANCATI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;PAOLO VENTURI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CARMEN GRAZIOSO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANTONINO D'EUGENIO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;GIUSEPPA PETRONILLI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;PASQUALE DI CARLUCCIO
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ALICE DELICATI
CAMERA DEI DEPUTATI;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P03;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;MICHELE CHIUSOLI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ENRICO MARIA BOZZA
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CLEMENTINA SANSONE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;BRUNO CALABRESE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ESMERALDA MAMELI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CLEMENTINA SANSONE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;GENNARO SAMMARTINO
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ESMERALDA MAMELI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;VINCENZO BOTTA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CRISTINA CAMPOLO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ENRICO MARIA BOZZA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANNA LATELLA
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANTONIO TALARICO
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ALESSANDRO CAPUCCI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ANNA CASABURI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CARMINE MUNNO
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CRISTIANO CERIELLO
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;MELISSA MONTANARI
SENATO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - P02;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;ALESSANDRO CAPUCCI
SENATO;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;MARILENE BONAVITA
SENATO;CALABRIA;CALABRIA - P01;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;CARMELO CARLO CALLEGARI
