Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;MICHELE FROSCIANTI
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;LENINA FABRIZI
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;DAVIDE BENEDETTI
CAMERA DEI DEPUTATI;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;MARIA STELLA TRAVERSINI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;ROBERTA COLETTA
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;RUGGERO GIACOMINI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;MICHELA PROCACCINI
CAMERA DEI DEPUTATI;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;MARCO PUCCI
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO COMUNISTA ITALIANO;GIACOMO DE ANGELIS
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO COMUNISTA ITALIANO;ANNAMARIA PAESANO
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO COMUNISTA ITALIANO;GIACOMO BARONE
CAMERA DEI DEPUTATI;CAMPANIA 2;CAMPANIA 2 - P01;PARTITO COMUNISTA ITALIANO;CARMELA FAVENZA
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;PARTITO COMUNISTA ITALIANO;GIUSEPPE AMODEO
CAMERA DEI DEPUTATI;BASILICATA;BASILICATA - P01;PARTITO COMUNISTA ITALIANO;CARMELA SANTALUCE
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;DINA ALBERTINA BALSAMO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;UGO MORO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;ANGELA RAVO
CAMERA DEI DEPUTATI;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;MATTEO BELLEGONI
SENATO;TOSCANA;TOSCANA - P01;PARTITO COMUNISTA ITALIANO;PAOLO MANUELO ZARA
SENATO;TOSCANA;TOSCANA - P01;PARTITO COMUNISTA ITALIANO;STEFANIA TONINI
SENATO;TOSCANA;TOSCANA - P01;PARTITO COMUNISTA ITALIANO;MARCO POMPEO
SENATO;TOSCANA;TOSCANA - P01;PARTITO COMUNISTA ITALIANO;FRANCESCA BRUNI
SENATO;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;FABIO SEBASTIANI
SENATO;UMBRIA;UMBRIA - P01;PARTITO COMUNISTA ITALIANO;SERENA MARCHEGIANI
SENATO;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;PATRIZIA SERAFINI
SENATO;MARCHE;MARCHE - P01;PARTITO COMUNISTA ITALIANO;GIANFRANCO MANCINI
SENATO;LAZIO;LAZIO - P01;PARTITO COMUNISTA ITALIANO;WALTER MARIO TUCCI
SENATO;LAZIO;LAZIO - P01;PARTITO COMUNISTA ITALIANO;FRANCESCA TURCO
SENATO;LAZIO;LAZIO - P01;PARTITO COMUNISTA ITALIANO;STEFANO ENDERLE
SENATO;LAZIO;LAZIO - P01;PARTITO COMUNISTA ITALIANO;LAURA BORGARUCCI
SENATO;LAZIO;LAZIO - P02;PARTITO COMUNISTA ITALIANO;MAURIZIO FEDERICO
SENATO;LAZIO;LAZIO - P02;PARTITO COMUNISTA ITALIANO;LUCIA ADDARIO
SENATO;LAZIO;LAZIO - P02;PARTITO COMUNISTA ITALIANO;ROBERTO PALLINI
SENATO;LAZIO;LAZIO - P02;PARTITO COMUNISTA ITALIANO;LAURA BORGARUCCI
SENATO;PUGLIA;PUGLIA - P01;PARTITO COMUNISTA ITALIANO;ADA DONNO
SENATO;PUGLIA;PUGLIA - P01;PARTITO COMUNISTA ITALIANO;GABRIELE ANNESE
SENATO;PUGLIA;PUGLIA - P01;PARTITO COMUNISTA ITALIANO;CRISTINA DE VITA
SENATO;PUGLIA;PUGLIA - P01;PARTITO COMUNISTA ITALIANO;VINCENZO SINISI
SENATO;BASILICATA;BASILICATA - P01;PARTITO COMUNISTA ITALIANO;ADRIANA CARDILLICCHIO
SENATO;BASILICATA;BASILICATA - P01;PARTITO COMUNISTA ITALIANO;ANTONIO PALLOTTINO
SENATO;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;EDOARDO CASTELLUCCI
SENATO;CALABRIA;CALABRIA - P01;PARTITO COMUNISTA ITALIANO;ROSA POLITANO'
