Dove;Ripartizione;Lista;Candidato
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;TONI RICCIARDI
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;LAURA ALBANESE
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARIZA ANTONIETTA GIUDITTA BAFILE
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;NADIA BUTTINI
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;SALVATORE MINEO
CAMERA DEI DEPUTATI;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FEDERICO QUADRELLI
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ANTONELLA IRENE PINTO
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FABIO PORTA
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;SALVADOR FINOCCHIARO
CAMERA DEI DEPUTATI;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FILOMENA ANTONIETTA NARDUCCI
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;CHRISTIAN DIEGO DI SANZO
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;GIACOMO GALLETTO
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MICHELA DI MARCO
CAMERA DEI DEPUTATI;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;VERA ROSATI
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;NICOLA CARE'
CAMERA DEI DEPUTATI;AFRICA ASIA OCEANIA ANTARTIDE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ANTONIO AMATULLI
SENATO;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ANDREA CRISANTI
SENATO;EUROPA;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MICHELE SCHIAVONE
SENATO;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARIO ALDO SEBASTIANI
SENATO;AMERICA MERIDIONALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ANGELO ANDREA MATARAZZO
SENATO;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FRANCESCA LA MARCA
SENATO;AMERICA SETTENTRIONALE E CENTRALE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;PASQUALE FRANCESCO NESTICO'
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FRANCESCO GIACOBBE
SENATO;AFRICA ASIA OCEANIA ANTARTIDE;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;SANDRO FRATINI
