Dove;Circoscrizione;Collegio plurinominale;Lista;Candidato
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;DEBORA SERRACCHIANI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MAURO ANTONIO DONATO LAUS
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARIA CECILIA GUERRA
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;STEFANO LEPRI
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MAURO BERRUTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FRANCESCA BONOMO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;NICOLO' FARINETTO
CAMERA DEI DEPUTATI;PIEMONTE 1;PIEMONTE 1 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FEDERICA SANNA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;FEDERICO FORNARO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EMANUELA ALLEGRA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;RINALDO CHIOLA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MARIA MOCCIA
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;CHIARA GRIBAUDO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;DANIELE GAETANO BORIOLI
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ORNELLA LOVISOLO
CAMERA DEI DEPUTATI;PIEMONTE 2;PIEMONTE 2 - P02;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;MAURO CALDERONI
CAMERA DEI DEPUTATI;LOMBARDIA 1;LOMBARDIA 1 - P01;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;ENRICO LETTA
