"Coalizione","Dove","Partito","Circoscrizione","Collegio Plurinominale","Collegio Uninominale","Città principale","Pos.","Candidato"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","Antonino Barbera Mazzola"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","Benedetta Dentamaro"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","Maurizio D'Ercoli"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","Maria Jesus Grana Gonzales"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","Angelo Di Pietro"
"Centrosinistra","Camera dei deputati","PiuEuropa","Europa","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","PiuEuropa","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","Europa","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","Europa","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","PiuEuropa","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
