"Coalizione","Dove","Partito","Circoscrizione","Collegio Plurinominale","Città principale","Pos.","Candidato"
"Centrodestra","Senato","Fratelli d'Italia","Abruzzo","Abruzzo - P01","Intera Regione",1,"Etelwardo Sigismondi"
"Centrodestra","Senato","Fratelli d'Italia","Abruzzo","Abruzzo - P01","Intera Regione",2,"Marilena Rossi"
"Centrodestra","Senato","Fratelli d'Italia","Abruzzo","Abruzzo - P01","Intera Regione",3,"Matteo Perazzetti"
"Centrodestra","Senato","Fratelli d'Italia","Basilicata","Basilicata - P01","Intera Regione",1,"Gianni Rosa"
"Centrodestra","Senato","Fratelli d'Italia","Basilicata","Basilicata - P01","Intera Regione",2,"Annamaria Guerricchio"
"Centrodestra","Senato","Fratelli d'Italia","Calabria","Calabria - P01","Intera Regione",1,"Fausto Orsomarso"
"Centrodestra","Senato","Fratelli d'Italia","Calabria","Calabria - P01","Intera Regione",2,"Giovanna M. Cusumano"
"Centrodestra","Senato","Fratelli d'Italia","Calabria","Calabria - P01","Intera Regione",3,"Pasquale La Gamba"
"Centrodestra","Senato","Fratelli d'Italia","Calabria","Calabria - P01","Intera Regione",4,"Maria Adele Bottaro"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P01","Napoli, Giugliano in Campania,
Torre del Greco, Acerra",1,"Marcello Pera"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P01","Napoli, Giugliano in Campania,
Torre del Greco, Acerra",2,"Giovanna Petrenga"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P01","Napoli, Giugliano in Campania,
Torre del Greco, Acerra",3,"Sergio Rastrelli"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P01","Napoli, Giugliano in Campania,
Torre del Greco, Acerra",4,"Gabriella Peluso"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P02","Caserta, Benevento, Salerno",1,"Giovanna Petrenga"
"Centrodestra","Senato","Fratelli d'Italia","Campania","Campania - P02","Caserta, Benevento, Salerno",2,"Domenico Matera"
