"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Centrodestra","Senato","-","Abruzzo","Abruzzo - U01","Pescara","Guido Quintino Liris"
"Centrodestra","Senato","-","Basilicata","Basilicata - U01","Potenza","Maria Elisabetta Alberti
Casellati"
"Centrodestra","Senato","-","Calabria","Calabria - U01","Corigliano-Rossano","Ernesto Rapani"
"Centrodestra","Senato","-","Calabria","Calabria - U02","Reggio di Calabria","Clotilde Minasi"
"Centrodestra","Senato","-","Campania","Campania - U01","Caserta","Giovanna Petrenga"
"Centrodestra","Senato","-","Campania","Campania - U02","Benevento","Giulia Cosenza"
"Centrodestra","Senato","-","Campania","Campania - U03","Salerno","Antonio Iannone"
"Centrodestra","Senato","-","Campania","Campania - U04","Napoli","Stefano Caldoro"
"Centrodestra","Senato","-","Campania","Campania - U05","Giugliano in Campania","Elena Scarlato"
"Centrodestra","Senato","-","Campania","Campania - U06","Torre del Greco","Giuseppina Castiello"
"Centrodestra","Senato","-","Campania","Campania - U07","Acerra","Claudio Barbaro"
"Centrodestra","Senato","-","Emilia-Romagna","Emilia-Romagna - U01","Parma","Elena Murelli"
"Centrodestra","Senato","-","Emilia-Romagna","Emilia-Romagna - U02","Modena","Enrico Aimi"
"Centrodestra","Senato","-","Emilia-Romagna","Emilia-Romagna - U03","Bologna","Vittorio Sgarbi"
"Centrodestra","Senato","-","Emilia-Romagna","Emilia-Romagna - U04","Ravenna","Alberto Balboni"
"Centrodestra","Senato","-","Emilia-Romagna","Emilia-Romagna - U05","Rimini","Marta Farolfi"
"Centrodestra","Senato","-","Friuli-Venezia Giulia","Friuli-Venezia Giulia - U01","Trieste","Luca Ciriani"
"Centrodestra","Senato","-","Lazio","Lazio - U01","Viterbo","Claudio Durigon"
"Centrodestra","Senato","-","Lazio","Lazio - U02","Roma: Municipio XIV","Lavinia Mennuni"
"Centrodestra","Senato","-","Lazio","Lazio - U03","Roma: Municipio V","Giulia Bongiorno"
"Centrodestra","Senato","-","Lazio","Lazio - U04","Roma: Municipio VII","Ester Mieli"
"Centrodestra","Senato","-","Lazio","Lazio - U05","Guidonia Montecelio","Marco Silvestroni"
"Centrodestra","Senato","-","Lazio","Lazio - U06","Latina","Claudio Fazzone"
