Dove;Coalizioni e liste;Voti;%;Seggi;Candidati uninominali eletti;Totale
Senato;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;12129547;44,02;56;56;112
Senato;FRATELLI D'ITALIA CON GIORGIA MELONI;7165795;26,01;34;;
Senato;LEGA PER SALVINI PREMIER;2439409;8,85;13;;
Senato;FORZA ITALIA;2279980;8,27;9;;
Senato;NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC;244363;0,89;;;
Senato;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;7161688;25,99;34;5;39
Senato;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;5225456;18,96;31;;
Senato;ALLEANZA VERDI E SINISTRA;972445;3,53;3;;
Senato;PIUEUROPA;809412;2,94;;;
Senato;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;154375;0,56;;;
Senato;MOVIMENTO 5 STELLE;4285894;15,55;23;5;28
Senato;AZIONE - ITALIA VIVA - CALENDA;2131310;7,73;9;;9
Senato;ITALEXIT PER L'ITALIA;515294;1,87;;;
Senato;UNIONE POPOLARE CON DE MAGISTRIS;374051;1,36;;;
Senato;ITALIA SOVRANA E POPOLARE;309403;1,12;;;
Senato;SUD CHIAMA NORD;271549;0,99;;1;1
Senato;VITA;196656;0,71;;;
Senato;PARTITO COMUNISTA ITALIANO;70961;0,26;;;
Senato;MASTELLA NOI DI CENTRO EUROPEISTI;42860;0,16;;;
Senato;ALTERNATIVA PER L'ITALIA - NO GREEN PASS;40371;0,15;;;
Senato;PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO;16957;0,06;;;
Senato;PARTITO COMUNISTA DEI LAVORATORI;4484;0,02;;;
Senato;DESTRE UNITE;2412;0,01;;;
Senato;FORZA DEL POPOLO;873;0;;;
