Dove;Regione;Elettori;Votanti;%;Schede nulle;Schede bianche;Schede contestate;Coalizioni e liste;Voti;%;Seggi;Candidati uninominali eletti;Totale
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;301720;48,31;1;1;2
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FRATELLI D'ITALIA CON GIORGIA MELONI;170181;27,25;1;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;FORZA ITALIA;75767;12,13;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;LEGA PER SALVINI PREMIER;51685;8,28;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;4087;0,65;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;133448;21,37;1;;1
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;100829;16,14;1;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ALLEANZA VERDI E SINISTRA;16441;2,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;PIUEUROPA;12213;1,96;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;3965;0,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;MOVIMENTO 5 STELLE;116909;18,72;1;;1
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;AZIONE  ITALIA VIVA  CALENDA;38006;6,09;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ITALEXIT PER L'ITALIA;11977;1,92;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;UNIONE POPOLARE CON DE MAGISTRIS;10175;1,63;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ITALIA SOVRANA E POPOLARE;7875;1,26;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;VITA;2798;0,45;;;
SENATO;ABRUZZO;1026974;657133;63,99;20128;12363;85;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;1649;0,26;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;88277;36,1;1;1;2
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FRATELLI D'ITALIA CON GIORGIA MELONI;46716;19,1;1;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;FORZA ITALIA;21983;8,99;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;LEGA PER SALVINI PREMIER;17471;7,14;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;2107;0,86;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;MOVIMENTO 5 STELLE;59560;24,36;1;;1
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;53267;21,78;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;39557;16,18;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ALLEANZA VERDI E SINISTRA;6725;2,75;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PIUEUROPA;4905;2,01;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;2080;0,85;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;AZIONE  ITALIA VIVA  CALENDA;30006;12,27;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;UNIONE POPOLARE CON DE MAGISTRIS;3856;1,58;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ITALEXIT PER L'ITALIA;3557;1,45;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;ITALIA SOVRANA E POPOLARE;2855;1,17;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;PARTITO COMUNISTA ITALIANO;2290;0,94;;;
SENATO;BASILICATA;446685;262520;58,77;11179;6792;2;MASTELLA NOI DI CENTRO EUROPEISTI;880;0,36;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FRATELLI D'ITALIA CON GIORGIA MELONI, FORZA ITALIA, LEGA PER SALVINI PREMIER, NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;299180;41,67;2;2;4
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FRATELLI D'ITALIA CON GIORGIA MELONI;136403;19;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;FORZA ITALIA;115502;16,09;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;LEGA PER SALVINI PREMIER;41357;5,76;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;NOI MODERATI/LUPI  TOTI  BRUGNARO  UDC;5918;0,82;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;MOVIMENTO 5 STELLE;211525;29,46;1;;1
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA, ALLEANZA VERDI E SINISTRA, PiuEuropa, IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;128891;17,95;1;;1
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO DEMOCRATICO  ITALIA DEMOCRATICA E PROGRESSISTA;105131;14,64;1;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALLEANZA VERDI E SINISTRA;10741;1,5;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PIUEUROPA;8017;1,12;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;IMPEGNO CIVICO LUIGI DI MAIO  CENTRO DEMOCRATICO;5002;0,7;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;AZIONE  ITALIA VIVA  CALENDA;28508;3,97;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;UNIONE POPOLARE CON DE MAGISTRIS;14729;2,05;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALEXIT PER L'ITALIA;9778;1,36;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ITALIA SOVRANA E POPOLARE;9554;1,33;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO COMUNISTA ITALIANO;5194;0,72;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;SUD CHIAMA NORD;2894;0,4;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;ALTERNATIVA PER L'ITALIA  NO GREEN PASS;2176;0,3;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;PARTITO ANIMALISTA  UCDL  10 VOLTE MEGLIO;2067;0,29;;;
SENATO;CALABRIA;1496834;760354;50,8;23682;18706;77;VITA;1437;0,2;;;
